2023-07-09 19:58:42,631 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53274)>), {}. Инициатор вызова - "run" 
2023-07-09 19:58:42,631 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'exit', 'time': 1688921922.1637554, 'account_name': 'QQQ'} 
2023-07-09 19:58:42,632 - INFO       - server_run - Клиент ('127.0.0.1', 53274) отключился от сервера. 
2023-07-09 19:58:42,634 - DEBUG      - server_run - Клиент QQQ корректно отключился от сервера. 
2023-07-09 20:04:19,065 - INFO       - server_run - Получен запрос на соединение от ('127.0.0.1', 46162) 
2023-07-09 20:04:19,566 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>), {}. Инициатор вызова - "run" 
2023-07-09 20:04:19,566 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'presence', 'time': 1688922259.0728536, 'levon': {'account_name': 'QQQ', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkrYMPOYjUgBf3rEVaFjg\no91Ti9938M5gyCSK3ueavDf6pW8XnzTOUIbKYEhe45IWu8qPR3U4k/p+Cn4S96Yr\n6uaya1Ibh+KzL7zNqiWiLk2we4Rs7PiYUMl0wZz1ijlHkduERFyx+Yco0avd5RA/\nk6e1dj++RC419dLR15t2XAaVchTk5bKu+HlMWWBElAKyVK3z4kCLvMuzc4uZ5DhA\nOVVW+yMHmxxxk/aGOmWJb41Tym7owJZ6tpqVepboCpCLM5mHYE3uAyDcrme3GHHH\nPy4ecqhuOpdeDFY/0P5EJy6qU575XcPLetxePC6SJOopIqpm3YOJUh0p77wm/8bP\njwIDAQAB\n-----END PUBLIC KEY-----'}} 
2023-07-09 20:04:19,566 - DEBUG      - server_run - Start auth process for {'account_name': 'QQQ', 'pubkey': '-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkrYMPOYjUgBf3rEVaFjg\no91Ti9938M5gyCSK3ueavDf6pW8XnzTOUIbKYEhe45IWu8qPR3U4k/p+Cn4S96Yr\n6uaya1Ibh+KzL7zNqiWiLk2we4Rs7PiYUMl0wZz1ijlHkduERFyx+Yco0avd5RA/\nk6e1dj++RC419dLR15t2XAaVchTk5bKu+HlMWWBElAKyVK3z4kCLvMuzc4uZ5DhA\nOVVW+yMHmxxxk/aGOmWJb41Tym7owJZ6tpqVepboCpCLM5mHYE3uAyDcrme3GHHH\nPy4ecqhuOpdeDFY/0P5EJy6qU575XcPLetxePC6SJOopIqpm3YOJUh0p77wm/8bP\njwIDAQAB\n-----END PUBLIC KEY-----'} 
2023-07-09 20:04:19,568 - DEBUG      - server_run - Correct username, starting passwd check. 
2023-07-09 20:04:19,569 - DEBUG      - server_run - Auth message = {'response': 511, 'bin': 'c648b2512c9ffb712fa7786abfb965567ce153260ae23efc91456f17e6f93c5a556f564003820dcf401a83272db2fefac5daa72a2c909d61d384b358304a140c'} 
2023-07-09 20:04:19,569 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "send_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>, {'response': 511, 'bin': 'c648b2512c9ffb712fa7786abfb965567ce153260ae23efc91456f17e6f93c5a556f564003820dcf401a83272db2fefac5daa72a2c909d61d384b358304a140c'}), {}. Инициатор вызова - "autorize_user" 
2023-07-09 20:04:19,570 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>), {}. Инициатор вызова - "autorize_user" 
2023-07-09 20:04:19,570 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "send_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>, {'response': 200}), {}. Инициатор вызова - "autorize_user" 
2023-07-09 20:04:20,079 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>), {}. Инициатор вызова - "run" 
2023-07-09 20:04:20,080 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'get_users', 'time': 1688922259.5711918, 'account_name': 'QQQ'} 
2023-07-09 20:04:20,081 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "send_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>, {'response': 202, 'data_list': ['QQQ', 'XXX']}), {}. Инициатор вызова - "process_client_message" 
2023-07-09 20:04:20,582 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "get_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>), {}. Инициатор вызова - "run" 
2023-07-09 20:04:20,582 - DEBUG      - server_run - Разбор сообщения от клиента : {'action': 'get_contacts', 'time': 1688922260.084935, 'levon': 'QQQ'} 
2023-07-09 20:04:20,583 - DEBUG      - server_run - Из модуля "__main__" была вызвана функция "send_message" c параметрами (<Server(Thread-1, started daemon 139942670440000)>, <socket.socket fd=19, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 46162)>, {'response': 202, 'data_list': ['XXX']}), {}. Инициатор вызова - "process_client_message" 
